level,time_ms,rollout_mode,heuristic_mode,selection_mode,loss_heuristic,ucb_const,threads,num_games,num_wins,win_rate,lower_bound,upper_bound
9+,400,parallel max,no heuristic,full expand,no heuristic,0.064,8,1550,680,0.4387096774193548,0.41,0.46
9+,400,parallel max,no heuristic,full expand,no heuristic,0.128,8,1888,614,0.3252118644067797,0.3,0.35
9+,400,parallel max,no heuristic,full expand,no heuristic,0.256,8,1549,402,0.2595222724338282,0.24,0.28
9+,400,parallel max,no heuristic,full expand,no heuristic,0.512,8,1165,242,0.207725321888412,0.19,0.23
9+,400,parallel max,no heuristic,full expand,no heuristic,1.024,8,827,115,0.1390568319226118,0.12,0.16
9+,400,parallel trees,no heuristic,full expand,no heuristic,1e-05,8,452,11,0.0243362831858407,0.01,0.04
9+,400,parallel trees,no heuristic,full expand,no heuristic,5e-05,8,452,14,0.0309734513274336,0.02,0.05
9+,400,parallel trees,no heuristic,full expand,no heuristic,0.0001,8,452,11,0.0243362831858407,0.01,0.04
9+,400,parallel trees,no heuristic,full expand,no heuristic,0.0005,8,769,124,0.1612483745123537,0.14,0.19
9+,400,parallel trees,no heuristic,full expand,no heuristic,0.001,8,1482,511,0.344804318488529,0.32,0.37
9+,400,parallel trees,no heuristic,full expand,no heuristic,0.002,8,1887,1015,0.5378908320084791,0.52,0.56
9+,400,parallel trees,no heuristic,full expand,no heuristic,0.004,8,2093,1289,0.6158623984710941,0.59,0.64
9+,400,parallel trees,no heuristic,full expand,no heuristic,0.008,8,1888,1046,0.5540254237288136,0.53,0.58
9+,400,parallel trees,no heuristic,full expand,no heuristic,0.016,8,1749,865,0.494568324757004,0.47,0.52
9+,400,parallel trees,no heuristic,full expand,no heuristic,0.032,8,1885,742,0.3936339522546419,0.37,0.42
9+,400,parallel trees,no heuristic,full expand,no heuristic,0.064,8,1549,537,0.3466752743705616,0.32,0.37
9+,400,parallel trees,no heuristic,full expand,no heuristic,0.128,8,1885,549,0.2912466843501326,0.27,0.31
9+,400,parallel trees,no heuristic,full expand,no heuristic,0.256,8,1549,329,0.2123950936087798,0.19,0.23
9+,400,parallel trees,no heuristic,full expand,no heuristic,0.512,8,542,49,0.0904059040590405,0.07,0.12
9+,400,parallel trees,no heuristic,full expand,no heuristic,1.024,8,510,1,0.0019607843137254,0.0,0.01
9++,400,parallel max,no heuristic,full expand,no heuristic,0.001,8,1744,255,0.1462155963302752,0.13,0.16
9++,400,parallel max,no heuristic,full expand,no heuristic,0.002,8,542,66,0.1217712177121771,0.1,0.15
9++,400,parallel max,no heuristic,full expand,no heuristic,0.004,8,1051,165,0.1569933396764985,0.14,0.18
9++,400,parallel max,no heuristic,full expand,no heuristic,0.008,8,1263,181,0.1433095803642121,0.13,0.16
9++,400,parallel max,no heuristic,full expand,no heuristic,0.016,8,707,107,0.1513437057991513,0.13,0.18
9++,400,parallel max,no heuristic,full expand,no heuristic,0.032,8,1261,126,0.0999206978588422,0.08,0.12
9++,400,parallel max,no heuristic,full expand,no heuristic,0.064,8,508,35,0.0688976377952756,0.05,0.09
9++,400,parallel max,no heuristic,full expand,no heuristic,0.128,8,1261,76,0.0602696272799365,0.05,0.07
9++,400,parallel max,no heuristic,full expand,no heuristic,0.256,8,508,31,0.0610236220472441,0.04,0.09
9++,400,parallel max,no heuristic,full expand,no heuristic,0.512,8,541,22,0.0406654343807763,0.03,0.06
9++,400,parallel max,no heuristic,full expand,no heuristic,1.024,8,507,9,0.0177514792899408,0.01,0.03
9++,400,parallel trees,no heuristic,full expand,no heuristic,0.001,8,708,26,0.0367231638418079,0.03,0.05
9++,400,parallel trees,no heuristic,full expand,no heuristic,0.002,8,539,26,0.0482374768089053,0.03,0.07
9++,400,parallel trees,no heuristic,full expand,no heuristic,0.004,8,1051,54,0.0513796384395813,0.04,0.07
9++,400,parallel trees,no heuristic,full expand,no heuristic,0.008,8,539,19,0.0352504638218923,0.02,0.05
9++,400,parallel trees,no heuristic,full expand,no heuristic,0.016,8,707,20,0.0282885431400282,0.02,0.04
9++,400,parallel trees,no heuristic,full expand,no heuristic,0.032,8,539,24,0.0445269016697588,0.03,0.07
9++,400,parallel trees,no heuristic,full expand,no heuristic,0.064,8,508,11,0.0216535433070866,0.01,0.04
9++,400,parallel trees,no heuristic,full expand,no heuristic,0.128,8,224,3,0.0133928571428571,0.0,0.04
9++,400,parallel trees,no heuristic,full expand,no heuristic,0.256,8,508,7,0.0137795275590551,0.01,0.03
9++,400,parallel trees,no heuristic,full expand,no heuristic,0.512,8,224,0,0.0,0.0,0.02
9++,400,parallel trees,no heuristic,full expand,no heuristic,1.024,8,507,1,0.0019723865877712,0.0,0.01
9+,100,normal,no heuristic,full expand,no heuristic,0.004,8,2254,26,0.0115350488021295,0.01,0.02
9+,200,normal,no heuristic,full expand,no heuristic,0.004,8,2254,95,0.0421472937000887,0.03,0.05
9+,300,normal,no heuristic,full expand,no heuristic,0.004,8,2254,191,0.0847382431233362,0.07,0.1
9+,400,normal,no heuristic,full expand,no heuristic,0.004,8,2871,262,0.0912574016022291,0.08,0.1
9+,500,normal,no heuristic,full expand,no heuristic,0.004,8,2049,229,0.1117618350414836,0.1,0.13
9+,600,normal,no heuristic,full expand,no heuristic,0.004,8,2049,267,0.130307467057101,0.12,0.15
